,Item,Facet_1,Facet_2,Prompt_1,Prompt_2,HEXACO_1,HEXACO_2,Idx_1,Idx_2,is_rev_1,is_rev_2,X1,Factor,Pos.Cosine,Neg.Cosine,STS.Cosine,Distinct.Cosine,Prompt,Internal.Consistency,Cos.Diff,ABS.Cosine.Diff,K_Means,H_Cluster,Internal.STS,Internal.Distinct,Cluster.STS,SYNTAX/SEMANTICS,ENTAILMENT,CONTEXT
11,I'm not a person to talk about my life in detail.,Fearfulness,Dependence,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,77,89,FALSE,FALSE,2300,Emotionality,0.395913154,0.53018415,0.41747719,0.000486046,Even in an emergency I wouldn't feel like panicking. I rarely discuss my problems with other people. I,0.3222,-0.134270996,0.134270996,3,326,0.344758779,0.027329266,0.769026756,NA,NA,NA
12,I don't like to talk about myself.,Anxiety,Dependence,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,59,89,FALSE,FALSE,2453,Emotionality,0.444359601,0.481958151,0.460207552,0.046845466,"I rarely, if ever, have trouble sleeping due to stress or anxiety. I rarely discuss my problems with other people. I",0.381999999,-0.03759855,0.03759855,2,326,0.378826171,0.083388388,0.776788712,NA,NA,NA
13,I'm not really interested in talking about my life.,Dependence,Anxiety,I rarely discuss my problems with other people.,I worry a lot less than most people do.,I rarely discuss my problems with other people.,I worry a lot less than most people do.,89,35,FALSE,FALSE,1812,Emotionality,0.374259502,0.443961561,0.387287676,0.039947927,I rarely discuss my problems with other people. I worry a lot less than most people do. I,0.330900013,-0.069702059,0.069702059,3,326,0.325906813,0.044722944,0.723235011,NA,NA,NA
14,I'm not afraid of my own shadow.,Dependence,Anxiety,I rarely discuss my problems with other people.,I worry a lot less than most people do.,I rarely discuss my problems with other people.,I worry a lot less than most people do.,89,35,FALSE,FALSE,1815,Emotionality,0.1682989,0.328763664,0.193128854,-0.009673476,I rarely discuss my problems with other people. I worry a lot less than most people do. I,0.291500002,-0.160464764,0.160464764,3,117,0.266139686,0.056378454,0.299775898,NA,NA,NA
15,I just let myself be.,Fearfulness,Dependence,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,Even in an emergency I wouldn't feel like panicking.,I rarely discuss my problems with other people.,77,89,FALSE,FALSE,2315,Emotionality,0.202642769,0.247591883,0.212839305,-0.013505474,Even in an emergency I wouldn't feel like panicking. I rarely discuss my problems with other people. I,0.29370001,-0.044949114,0.044949114,3,33,0.265476018,0.060024679,0.504523993,NA,NA,NA
16,I can't stand the sight of myself in the mirror.,Liveliness,Social_Self_Esteem,I am energetic nearly all the time.,I feel that I am an unpopular person.,I am energetic nearly all the time.,I feel that I am an unpopular person.,22,52,FALSE,FALSE,3696,Extraversion,0.149720907,0.377572954,0.170026243,-0.017921507,I am energetic nearly all the time. I feel that I am an unpopular person. I,0.263399988,-0.227852046,0.227852046,2,117,0.276296169,0.026440799,0.261134177,NA,NA,NA
17,I don't like talking about my personal life.,Sociability,Sociability,I prefer jobs that involve active social interaction to those that involve working alone.,"I avoid making ""small talk"" with people.",I prefer jobs that involve active social interaction to those that involve working alone.,"I avoid making ""small talk"" with people.",64,16,TRUE,TRUE,2610,Extraversion,0.118034929,0.523237526,0.145737618,0.018159479,"I prefer jobs that involve active social interaction to those that involve working alone. I avoid making ""small talk"" with people. I",0.372399986,-0.405202597,0.405202597,2,326,0.295177609,0.07304123,0.787774742,NA,NA,NA
18,I don't like talking to people about myself.,Liveliness,Social_Boldness,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,94,82,FALSE,TRUE,2681,Extraversion,0.195463225,0.567337394,0.213243932,0.09061119,Most people are more upbeat and dynamic than I generally am. I tend to feel quite self-conscious when speaking in front of a group of people. I,0.423700005,-0.371874169,0.371874169,2,326,0.335752636,0.129980087,0.764291048,NA,NA,NA
19,I'm afraid to talk about myself.,Social_Self_Esteem,Sociability,I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",76,16,FALSE,TRUE,2827,Extraversion,0.12354736,0.520131528,0.162075773,0.092383668,"I sometimes feel that I am a worthless person. I avoid making ""small talk"" with people. I",0.35679999,-0.396584168,0.396584168,2,326,0.298373848,0.11126788,0.734717727,NA,NA,NA
20,I don't like to be bothered by people who are always talking about themselves.,Social_Self_Esteem,Sociability,I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",76,16,FALSE,TRUE,2833,Extraversion,0.219824225,0.514395952,0.263316005,0.049525768,"I sometimes feel that I am a worthless person. I avoid making ""small talk"" with people. I",0.396600008,-0.294571728,0.294571728,2,326,0.346100599,0.086530447,0.557739794,NA,NA,NA
21,I don't want to talk about my life.,Social_Self_Esteem,Sociability,I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",I sometimes feel that I am a worthless person.,"I avoid making ""small talk"" with people.",76,16,FALSE,TRUE,2852,Extraversion,0.046304632,0.309995234,0.059076913,0.029923201,"I sometimes feel that I am a worthless person. I avoid making ""small talk"" with people. I",0.315400004,-0.263690602,0.263690602,3,326,0.231283352,0.079674631,0.697382689,NA,NA,NA
22,I don't talk about my personal life.,Sociability,Social_Boldness,"I avoid making ""small talk"" with people.","When I'm in a group of people, I'm often the one who speaks on behalf of the group.","I avoid making ""small talk"" with people.","When I'm in a group of people, I'm often the one who speaks on behalf of the group.",16,58,TRUE,TRUE,2900,Extraversion,0.077514224,0.34688729,0.096725956,0.010713011,"I avoid making ""small talk"" with people. When I'm in a group of people, I'm often the one who speaks on behalf of the group. I",0.316900015,-0.269373067,0.269373067,3,326,0.212936804,0.054036975,0.712657809,NA,NA,NA
23,I don't like to talk about my own personal life.,Social_Self_Esteem,Social_Boldness,I feel that I am an unpopular person.,I rarely express my opinions in group meetings.,I feel that I am an unpopular person.,I rarely express my opinions in group meetings.,52,10,FALSE,TRUE,2919,Extraversion,0.13550663,0.502459168,0.155221179,0.014019728,I feel that I am an unpopular person. I rarely express my opinions in group meetings. I,0.363900006,-0.366952538,0.366952538,2,326,0.302103728,0.068353176,0.81631422,NA,NA,NA
24,I don't like to talk about myself in front of people.,Social_Self_Esteem,Social_Boldness,I feel that I am an unpopular person.,I rarely express my opinions in group meetings.,I feel that I am an unpopular person.,I rarely express my opinions in group meetings.,52,10,FALSE,TRUE,2920,Extraversion,0.235953674,0.52444756,0.239716262,0.073051363,I feel that I am an unpopular person. I rarely express my opinions in group meetings. I,0.421799988,-0.288493887,0.288493887,2,326,0.335960805,0.107556462,0.75686568,NA,NA,NA
25,I don't want to get to know someone by talking about themselves.,Sociability,Sociability,"I avoid making ""small talk"" with people.",I enjoy having lots of people around to talk with.,"I avoid making ""small talk"" with people.",I enjoy having lots of people around to talk with.,16,40,TRUE,TRUE,2960,Extraversion,0.241894394,0.355184317,0.30248338,0.038182676,"I avoid making ""small talk"" with people. I enjoy having lots of people around to talk with. I",0.314900011,-0.113289922,0.113289922,3,326,0.297540992,0.082854509,0.490229845,NA,NA,NA
26,I'm not shy about talking about my own life experiences.,Sociability,Sociability,"I avoid making ""small talk"" with people.",I enjoy having lots of people around to talk with.,"I avoid making ""small talk"" with people.",I enjoy having lots of people around to talk with.,16,40,TRUE,TRUE,2983,Extraversion,0.331646383,0.203306869,0.239899367,0.054441303,"I avoid making ""small talk"" with people. I enjoy having lots of people around to talk with. I",0.318800002,0.128339514,0.128339514,1,326,0.233676851,0.083236843,0.224097133,NA,NA,NA
27,I don't like to talk about myself in front of other people unless I have to.,Sociability,Social_Boldness,"I avoid making ""small talk"" with people.","In social situations, I'm usually the one who makes the first move.","I avoid making ""small talk"" with people.","In social situations, I'm usually the one who makes the first move.",16,34,TRUE,TRUE,3246,Extraversion,0.182379782,0.343691349,0.205272287,0.076675326,"I avoid making ""small talk"" with people. In social situations, I'm usually the one who makes the first move. I",0.397199988,-0.161311567,0.161311567,2,326,0.288683355,0.104008198,0.664432764,NA,NA,NA
28,I don't like talking about myself.,Sociability,Social_Boldness,"I avoid making ""small talk"" with people.","In social situations, I'm usually the one who makes the first move.","I avoid making ""small talk"" with people.","In social situations, I'm usually the one who makes the first move.",16,34,TRUE,TRUE,3261,Extraversion,0.195054069,0.6064502,0.204781115,0.083956152,"I avoid making ""small talk"" with people. In social situations, I'm usually the one who makes the first move. I",0.418099999,-0.411396131,0.411396131,2,326,0.350104868,0.11307013,0.750799417,NA,NA,NA
29,I don't need to talk about myself.,Sociability,Liveliness,"I avoid making ""small talk"" with people.","On most days, I feel cheerful and optimistic.","I avoid making ""small talk"" with people.","On most days, I feel cheerful and optimistic.",16,46,TRUE,FALSE,3323,Extraversion,0.191088796,0.445468009,0.210788652,0.083128393,"I avoid making ""small talk"" with people. On most days, I feel cheerful and optimistic. I",0.355699986,-0.254379213,0.254379213,3,326,0.324416429,0.101160944,0.679469347,NA,NA,NA
30,I'm not good at talking about myself.,Social_Self_Esteem,Sociability,I feel that I am an unpopular person.,I enjoy having lots of people around to talk with.,I feel that I am an unpopular person.,I enjoy having lots of people around to talk with.,52,40,FALSE,TRUE,3553,Extraversion,0.249182105,0.56488663,0.249908566,0.151593387,I feel that I am an unpopular person. I enjoy having lots of people around to talk with. I,0.418199986,-0.315704525,0.315704525,2,326,0.370944709,0.139738232,0.662683964,NA,NA,NA
31,I don't like to talk about myself in public.,Sociability,Social_Boldness,I prefer jobs that involve active social interaction to those that involve working alone.,I tend to feel quite self-conscious when speaking in front of a group of people.,I prefer jobs that involve active social interaction to those that involve working alone.,I tend to feel quite self-conscious when speaking in front of a group of people.,64,82,TRUE,TRUE,3681,Extraversion,0.167312473,0.517692327,0.177537486,0.056958735,I prefer jobs that involve active social interaction to those that involve working alone. I tend to feel quite self-conscious when speaking in front of a group of people. I,0.385800004,-0.350379854,0.350379854,2,326,0.316646188,0.099612176,0.758072257,NA,NA,NA
32,I don't like to talk about my personal life.,Sociability,Sociability,"I avoid making ""small talk"" with people.",I prefer jobs that involve active social interaction to those that involve working alone.,"I avoid making ""small talk"" with people.",I prefer jobs that involve active social interaction to those that involve working alone.,16,64,TRUE,TRUE,3760,Extraversion,0.110085465,0.490067333,0.144578621,0.021489471,"I avoid making ""small talk"" with people. I prefer jobs that involve active social interaction to those that involve working alone. I",0.376199991,-0.379981868,0.379981868,2,326,0.294822186,0.072179675,0.802295566,NA,NA,NA
33,I don't like to talk about myself too much.,Flexibility,Gentleness,I find it hard to compromise with people when I really think I’m right.,I generally accept people’s faults without complaining about them.,I find it hard to compromise with people when I really think I’m right.,I generally accept people’s faults without complaining about them.,87,33,TRUE,TRUE,4358,Agreeableness,0.421091378,0.391144574,0.421091378,0.08377403,I find it hard to compromise with people when I really think I’m right. I generally accept people’s faults without complaining about them. I,0.377200007,0.029946804,0.029946804,2,326,0.360219061,0.030924469,0.735477567,NA,NA,NA
34,I don't want to make a scene about my personal life.,Gentleness,Forgiveness,I tend to be lenient in judging other people.,"My attitude toward people who have treated me badly is ""forgive and forget"".",I tend to be lenient in judging other people.,"My attitude toward people who have treated me badly is ""forgive and forget"".",57,27,TRUE,FALSE,4646,Agreeableness,0.45206058,0.269715011,0.343715221,0.035003036,"I tend to be lenient in judging other people. My attitude toward people who have treated me badly is ""forgive and forget"". I",0.310499996,0.182345569,0.182345569,2,326,0.304745466,0.016911328,0.771461368,NA,NA,NA
35,I've learned to just be myself.,Liveliness,Social_Boldness,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,Most people are more upbeat and dynamic than I generally am.,I tend to feel quite self-conscious when speaking in front of a group of people.,94,82,FALSE,TRUE,2715,Extraversion,0.251994699,0.162023157,0.200789332,0.123632193,Most people are more upbeat and dynamic than I generally am. I tend to feel quite self-conscious when speaking in front of a group of people. I,0.297800004,0.089971542,0.089971542,1,354,0.256816477,0.120965078,0.475451946,NA,NA,NA
36,I'm not the type to stay in a cubicle all day.,Liveliness,Sociability,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,"On most days, I feel cheerful and optimistic.",I prefer jobs that involve active social interaction to those that involve working alone.,46,64,FALSE,TRUE,3365,Extraversion,0.309688598,0.301601946,0.301602006,0.073892802,"On most days, I feel cheerful and optimistic. I prefer jobs that involve active social interaction to those that involve working alone. I",0.302700013,0.008086652,0.008086652,3,27,0.250641406,0.056531668,0.29614976,NA,NA,NA
37,I'm not one to sit around all day.,Liveliness,Sociability,Most people are more upbeat and dynamic than I generally am.,I enjoy having lots of people around to talk with.,Most people are more upbeat and dynamic than I generally am.,I enjoy having lots of people around to talk with.,94,40,FALSE,TRUE,3399,Extraversion,0.34373641,0.329622626,0.329622418,0.033429116,Most people are more upbeat and dynamic than I generally am. I enjoy having lots of people around to talk with. I,0.288599998,0.014113784,0.014113784,1,27,0.315525472,0.066530913,0.390972197,NA,NA,NA
38,I'm not the type of person to sit at a desk all day.,Sociability,Social_Boldness,I prefer jobs that involve active social interaction to those that involve working alone.,I tend to feel quite self-conscious when speaking in front of a group of people.,I prefer jobs that involve active social interaction to those that involve working alone.,I tend to feel quite self-conscious when speaking in front of a group of people.,64,82,TRUE,TRUE,3663,Extraversion,0.341207445,0.340475649,0.340475619,0.048461467,I prefer jobs that involve active social interaction to those that involve working alone. I tend to feel quite self-conscious when speaking in front of a group of people. I,0.290899992,0.000731796,0.000731796,3,27,0.290026098,0.028768361,0.326055646,NA,NA,NA
39,I try to make a conscious effort to do things every day.,Diligence,Organization,I often push myself very hard when trying to achieve a goal.,I clean my office or home quite frequently.,I often push myself very hard when trying to achieve a goal.,I clean my office or home quite frequently.,32,2,FALSE,FALSE,4794,Conscientiousness,0.437241018,0.36314258,0.363276809,0.171082273,I often push myself very hard when trying to achieve a goal. I clean my office or home quite frequently. I,0.315299988,0.074098438,0.074098438,1,27,0.331302226,0.092708513,0.419116706,NA,NA,NA
40,I try to make a lot of progress on a project each day.,Diligence,Organization,I often push myself very hard when trying to achieve a goal.,I clean my office or home quite frequently.,I often push myself very hard when trying to achieve a goal.,I clean my office or home quite frequently.,32,2,FALSE,FALSE,4826,Conscientiousness,0.409052581,0.278150499,0.396750689,0.183471948,I often push myself very hard when trying to achieve a goal. I clean my office or home quite frequently. I,0.316700011,0.130902082,0.130902082,1,27,0.299520731,0.122295648,0.449052662,NA,NA,NA
41,I'm always trying to find a way to make the most of every day.,Prudence,Organization,I make a lot of mistakes because I don't think before I act.,"I plan ahead and organize things, to avoid scrambling at the last minute.",I make a lot of mistakes because I don't think before I act.,"I plan ahead and organize things, to avoid scrambling at the last minute.",44,26,TRUE,FALSE,4889,Conscientiousness,0.398916155,0.332789004,0.335746109,0.142405242,"I make a lot of mistakes because I don't think before I act. I plan ahead and organize things, to avoid scrambling at the last minute. I",0.289200008,0.066127151,0.066127151,0,27,0.340448439,0.104334131,0.38281405,NA,NA,NA
42,I try to do as much as possible in a day.,Diligence,Diligence,I do only the minimum amount of work needed to get by.,I often push myself very hard when trying to achieve a goal.,I do only the minimum amount of work needed to get by.,I often push myself very hard when trying to achieve a goal.,80,32,FALSE,FALSE,5375,Conscientiousness,0.39084065,0.386135042,0.39084065,0.102286354,I do only the minimum amount of work needed to get by. I often push myself very hard when trying to achieve a goal. I,0.270700008,0.004705608,0.004705608,1,27,0.32832557,0.096212983,0.37627697,NA,NA,NA
43,I'm not one to sit on my ass all day.,Organization,Diligence,People often joke with me about the messiness of my room or desk.,I often push myself very hard when trying to achieve a goal.,People often joke with me about the messiness of my room or desk.,I often push myself very hard when trying to achieve a goal.,50,32,FALSE,FALSE,5470,Conscientiousness,0.254879862,0.24544467,0.2548801,0.000733465,People often joke with me about the messiness of my room or desk. I often push myself very hard when trying to achieve a goal. I,0.209900007,0.009435192,0.009435192,3,27,0.256168425,0.007747963,0.276174605,NA,NA,NA
44,I want to be able to do something every single day.,Diligence,Diligence,I often push myself very hard when trying to achieve a goal.,"When working, I often set ambitious goals for myself.",I often push myself very hard when trying to achieve a goal.,"When working, I often set ambitious goals for myself.",32,8,FALSE,FALSE,5715,Conscientiousness,0.294220686,0.306526214,0.303728282,0.11732769,"I often push myself very hard when trying to achieve a goal. When working, I often set ambitious goals for myself. I",0.258700013,-0.012305528,0.012305528,0,27,0.300129563,0.086117223,0.363260984,NA,NA,NA
45,I don't like to plan out every single day.,Perfectionism,Prudence,People often call me a perfectionist.,"I prefer to do whatever comes to mind, rather than stick to a plan.",People often call me a perfectionist.,"I prefer to do whatever comes to mind, rather than stick to a plan.",86,92,FALSE,TRUE,5756,Conscientiousness,0.314051092,0.503458142,0.416705668,0.130360305,"People often call me a perfectionist. I prefer to do whatever comes to mind, rather than stick to a plan. I",0.296099991,-0.189407051,0.189407051,4,27,0.336975664,0.062709332,0.366684079,NA,NA,NA
46,I want to be able to do the same thing every day.,Creativity,Creativity,I don't think of myself as the artistic or creative type.,I would like a job that requires following a routine rather than being creative.,I don't think of myself as the artistic or creative type.,I would like a job that requires following a routine rather than being creative.,85,13,TRUE,TRUE,7002,Openness to Experience,0.086636737,0.157222524,0.139401093,0.011837438,I don't think of myself as the artistic or creative type. I would like a job that requires following a routine rather than being creative. I,0.233799994,-0.070585787,0.070585787,1,27,0.185503229,0.034936696,0.361409098,NA,NA,NA
47,I can work at my desk at any hour of the day.,Social_Self_Esteem,Liveliness,I sometimes feel that I am a worthless person.,I am energetic nearly all the time.,I sometimes feel that I am a worthless person.,I am energetic nearly all the time.,76,22,FALSE,FALSE,3497,Extraversion,0.22527428,-0.008133222,0.184106067,0.03396973,I sometimes feel that I am a worthless person. I am energetic nearly all the time. I,0.166700006,0.233407502,0.233407502,1,262,0.100404121,0.027077153,0.525308907,NA,NA,NA
48,I don't want to let anyone down.,Dependence,Anxiety,I rarely discuss my problems with other people.,I worry a lot less than most people do.,I rarely discuss my problems with other people.,I worry a lot less than most people do.,89,35,FALSE,FALSE,1789,Emotionality,0.509814262,0.427075505,0.472178161,0.09710896,I rarely discuss my problems with other people. I worry a lot less than most people do. I,0.324099988,0.082738757,0.082738757,2,38,0.393817753,0.078632012,0.670930266,NA,NA,NA
49,I don't like to see people go.,Sentimentality,Sentimentality,I remain unemotional even in situations where most people get very sentimental.,I feel strong emotions when someone close to me is going away for a long time.,I remain unemotional even in situations where most people get very sentimental.,I feel strong emotions when someone close to me is going away for a long time.,95,71,FALSE,FALSE,1447,Emotionality,0.557181239,0.38401553,0.483876288,0.055763513,I remain unemotional even in situations where most people get very sentimental. I feel strong emotions when someone close to me is going away for a long time. I,0.299699992,0.173165709,0.173165709,2,2,0.36712262,0.016494572,0.512137294,NA,NA,NA
50,I try not to let my own problems define me.,Dependence,Anxiety,I rarely discuss my problems with other people.,I worry a lot less than most people do.,I rarely discuss my problems with other people.,I worry a lot less than most people do.,89,35,FALSE,FALSE,1782,Emotionality,0.364711821,0.48180455,0.405232102,0.032669306,I rarely discuss my problems with other people. I worry a lot less than most people do. I,0.319900006,-0.117092729,0.117092729,3,38,0.335506827,0.032200456,0.517375946,NA,NA,NA
51,I just don't want people to get hurt.,Dependence,Fearfulness,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,65,29,FALSE,FALSE,2558,Emotionality,0.522104502,0.334659576,0.48239246,0.173838764,"Whenever I feel worried about something, I want to share my concern with another person. I don’t mind doing jobs that involve dangerous work. I",0.316900015,0.187444925,0.187444925,2,38,0.334997088,0.117515087,0.558317542,NA,NA,NA
52,I don't want to cause problems.,Anxiety,Dependence,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,59,89,FALSE,FALSE,2451,Emotionality,0.41370374,0.41151005,0.411509842,0.106030881,"I rarely, if ever, have trouble sleeping due to stress or anxiety. I rarely discuss my problems with other people. I",0.345200002,0.002193689,0.002193689,2,38,0.32570672,0.073571682,0.615931153,NA,NA,NA
53,I don't want to cause trouble for other peoples' lives.,Anxiety,Dependence,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,"I rarely, if ever, have trouble sleeping due to stress or anxiety.",I rarely discuss my problems with other people.,59,89,FALSE,FALSE,2452,Emotionality,0.398818016,0.425309479,0.412566125,0.080983639,"I rarely, if ever, have trouble sleeping due to stress or anxiety. I rarely discuss my problems with other people. I",0.306499988,-0.026491463,0.026491463,2,38,0.312838495,0.051499546,0.623653829,NA,NA,NA
54,I‘t just want someone who cant be a bad person.,Dependence,Fearfulness,"When I suffer from a painful experience, I need someone to make me feel comfortable.",I don’t mind doing jobs that involve dangerous work.,"When I suffer from a painful experience, I need someone to make me feel comfortable.",I don’t mind doing jobs that involve dangerous work.,17,29,FALSE,FALSE,2116,Emotionality,0.454408348,0.337614954,0.388691723,0.062601224,"When I suffer from a painful experience, I need someone to make me feel comfortable. I don’t mind doing jobs that involve dangerous work. I",0.282599986,0.116793394,0.116793394,2,154,0.333940655,0.056802601,0.552155256,NA,NA,NA
55,I just don't want others to die.,Dependence,Fearfulness,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,"Whenever I feel worried about something, I want to share my concern with another person.",I don’t mind doing jobs that involve dangerous work.,65,29,FALSE,FALSE,2552,Emotionality,0.356029689,0.160337195,0.330501229,0.094919458,"Whenever I feel worried about something, I want to share my concern with another person. I don’t mind doing jobs that involve dangerous work. I",0.299699992,0.195692495,0.195692495,2,38,0.258705407,0.083975285,0.416585237,NA,NA,NA
